x,operator,y,=,z
21,*,7,=,147
11,*,24,=,264
99,+,84,=,183
58,/,2,=,29
39,-,55,=,-16
1,+,78,=,79
93,+,64,=,157
63,*,67,=,4221
28,-,95,=,-67
60,-,99,=,-39
55,-,97,=,-42
34,-,36,=,-2
30,/,10,=,3
59,-,56,=,3
21,-,41,=,-20
81,*,84,=,6804
65,+,83,=,148
63,/,9,=,7
19,+,28,=,47
69,+,40,=,109
67,+,75,=,142
89,/,89,=,1
40,/,40,=,1
52,*,46,=,2392
65,*,88,=,5720
95,/,1,=,95
65,-,76,=,-11
96,+,40,=,136
39,+,82,=,121
45,-,71,=,-26
65,/,65,=,1
75,*,75,=,5625
21,/,1,=,21
91,+,5,=,96
26,/,2,=,13
64,*,92,=,5888
24,/,2,=,12
35,+,20,=,55
20,/,2,=,10
15,+,73,=,88
71,/,71,=,1
94,*,67,=,6298
90,*,33,=,2970
97,+,52,=,149
100,+,24,=,124
32,-,34,=,-2
91,*,9,=,819
62,+,25,=,87
77,+,40,=,117
45,+,47,=,92
89,-,62,=,27
67,-,2,=,65
28,+,77,=,105
12,+,15,=,27
70,+,8,=,78
46,/,1,=,46
91,-,53,=,38
46,/,2,=,23
64,/,16,=,4
23,+,93,=,116
67,+,48,=,115
75,*,60,=,4500
31,*,28,=,868
7,-,1,=,6
71,/,1,=,71
5,/,5,=,1
95,+,37,=,132
86,/,86,=,1
13,*,100,=,1300
91,+,60,=,151
76,*,91,=,6916
52,+,20,=,72
92,+,18,=,110
38,*,37,=,1406
99,+,26,=,125
3,*,92,=,276
29,/,1,=,29
52,+,59,=,111
43,-,6,=,37
69,-,98,=,-29
8,*,71,=,568
19,+,20,=,39
26,+,34,=,60
99,+,9,=,108
48,-,41,=,7
33,*,4,=,132
31,*,11,=,341
46,*,74,=,3404
59,+,6,=,65
54,+,76,=,130
3,-,89,=,-86
39,+,87,=,126
65,/,5,=,13
87,/,1,=,87
73,*,39,=,2847
47,*,100,=,4700
76,/,1,=,76
90,*,72,=,6480
66,+,54,=,120
39,-,64,=,-25
28,+,79,=,107
23,-,48,=,-25
14,*,17,=,238
53,*,12,=,636
61,+,2,=,63
38,*,33,=,1254
53,-,73,=,-20
31,-,34,=,-3
44,+,88,=,132
42,*,71,=,2982
52,*,50,=,2600
55,/,55,=,1
40,+,56,=,96
27,-,79,=,-52
47,*,35,=,1645
21,-,66,=,-45
46,/,23,=,2
57,+,13,=,70
45,/,1,=,45
29,+,92,=,121
43,/,43,=,1
37,-,89,=,-52
48,+,43,=,91
31,+,70,=,101
49,*,59,=,2891
71,+,85,=,156
47,-,79,=,-32
46,-,21,=,25
3,+,41,=,44
100,-,93,=,7
100,/,1,=,100
88,*,55,=,4840
51,-,85,=,-34
72,*,23,=,1656
4,-,74,=,-70
36,-,77,=,-41
4,/,4,=,1
68,-,8,=,60
84,-,62,=,22
51,*,97,=,4947
51,+,82,=,133
37,/,37,=,1
17,+,98,=,115
17,*,98,=,1666
25,/,1,=,25
68,*,69,=,4692
97,-,64,=,33
94,*,27,=,2538
34,+,93,=,127
46,+,16,=,62
24,*,15,=,360
19,*,19,=,361
44,-,21,=,23
14,/,1,=,14
52,/,4,=,13
68,*,88,=,5984
71,/,71,=,1
56,+,97,=,153
17,-,30,=,-13
81,/,81,=,1
78,-,86,=,-8
43,*,84,=,3612
48,*,93,=,4464
7,*,64,=,448
92,-,83,=,9
35,+,10,=,45
61,-,68,=,-7
78,+,14,=,92
88,*,32,=,2816
58,+,13,=,71
47,-,6,=,41
48,-,3,=,45
7,/,7,=,1
48,+,8,=,56
85,+,83,=,168
87,-,16,=,71
11,+,71,=,82
89,+,44,=,133
60,*,38,=,2280
85,-,92,=,-7
32,/,16,=,2
5,-,83,=,-78
7,-,29,=,-22
29,/,1,=,29
65,-,60,=,5
29,/,1,=,29
68,-,8,=,60
44,-,95,=,-51
39,/,39,=,1
58,/,29,=,2
75,/,25,=,3
76,/,19,=,4
81,*,54,=,4374
94,*,11,=,1034
95,/,1,=,95
12,*,8,=,96
15,+,6,=,21
70,*,35,=,2450
55,-,42,=,13
20,+,99,=,119
1,*,23,=,23
1,+,69,=,70
56,+,82,=,138
34,-,23,=,11
4,*,60,=,240
41,/,1,=,41
33,*,29,=,957
9,*,9,=,81
75,/,25,=,3
13,*,92,=,1196
8,*,86,=,688
8,/,4,=,2
78,-,11,=,67
39,-,44,=,-5
99,+,95,=,194
41,/,41,=,1
13,-,40,=,-27
23,-,90,=,-67
99,+,94,=,193
31,-,73,=,-42
66,/,3,=,22
33,+,53,=,86
23,-,24,=,-1
40,/,1,=,40
60,-,28,=,32
34,*,57,=,1938
34,+,92,=,126
9,*,11,=,99
72,-,76,=,-4
61,-,98,=,-37
60,+,16,=,76
23,-,28,=,-5
48,-,50,=,-2
64,-,15,=,49
83,*,91,=,7553
18,-,47,=,-29
84,+,92,=,176
58,*,89,=,5162
8,+,26,=,34
28,/,2,=,14
52,-,66,=,-14
3,+,57,=,60
54,+,62,=,116
71,/,71,=,1
17,+,30,=,47
25,/,5,=,5
60,+,58,=,118
21,/,21,=,1
11,+,14,=,25
93,+,53,=,146
40,*,25,=,1000
82,+,86,=,168
23,-,30,=,-7
23,*,55,=,1265
68,*,77,=,5236
36,*,52,=,1872
10,*,41,=,410
45,-,51,=,-6
47,*,25,=,1175
65,/,13,=,5
81,/,81,=,1
89,-,9,=,80
96,+,89,=,185
62,/,1,=,62
82,/,41,=,2
44,-,94,=,-50
78,+,91,=,169
62,-,15,=,47
92,*,80,=,7360
70,-,90,=,-20
63,/,1,=,63
46,/,2,=,23
85,*,2,=,170
61,+,100,=,161
2,*,89,=,178
40,*,25,=,1000
70,*,26,=,1820
100,/,4,=,25
2,*,80,=,160
81,+,78,=,159
12,+,57,=,69
100,-,8,=,92
92,/,46,=,2
96,/,48,=,2
7,-,29,=,-22
88,-,77,=,11
51,*,82,=,4182
60,+,81,=,141
95,*,70,=,6650
99,+,47,=,146
92,*,67,=,6164
51,/,1,=,51
81,-,4,=,77
88,/,8,=,11
30,+,54,=,84
90,/,5,=,18
65,/,65,=,1
72,-,36,=,36
67,/,67,=,1
36,/,12,=,3
25,/,5,=,5
1,-,8,=,-7
85,*,47,=,3995
88,+,49,=,137
59,-,99,=,-40
45,+,92,=,137
3,*,71,=,213
6,/,2,=,3
60,-,64,=,-4
97,+,45,=,142
12,+,7,=,19
37,*,76,=,2812
8,-,99,=,-91
51,-,42,=,9
80,/,10,=,8
90,*,28,=,2520
69,/,69,=,1
10,+,13,=,23
75,*,69,=,5175
22,-,92,=,-70
82,+,35,=,117
49,-,10,=,39
25,*,94,=,2350
82,/,2,=,41
98,*,61,=,5978
83,-,86,=,-3
77,+,72,=,149
2,+,29,=,31
84,*,73,=,6132
76,*,45,=,3420
74,-,15,=,59
14,-,56,=,-42
26,+,24,=,50
47,/,47,=,1
38,-,95,=,-57
77,-,59,=,18
59,+,1,=,60
67,/,67,=,1
13,+,58,=,71
63,*,86,=,5418
8,/,1,=,8
63,+,89,=,152
95,-,92,=,3
27,*,49,=,1323
4,*,72,=,288
28,+,47,=,75
57,+,33,=,90
57,+,38,=,95
69,-,6,=,63
16,+,56,=,72
65,/,65,=,1
82,/,2,=,41
82,/,1,=,82
32,+,64,=,96
12,+,72,=,84
76,/,38,=,2
82,-,33,=,49
84,/,3,=,28
74,+,72,=,146
40,-,46,=,-6
54,-,57,=,-3
36,/,12,=,3
23,-,87,=,-64
56,*,35,=,1960
42,-,13,=,29
27,+,56,=,83
62,/,31,=,2
69,-,70,=,-1
87,*,20,=,1740
23,+,93,=,116
33,+,50,=,83
47,/,47,=,1
27,+,42,=,69
79,-,16,=,63
76,/,1,=,76
8,+,2,=,10
43,-,31,=,12
94,-,13,=,81
18,*,15,=,270
89,-,98,=,-9
45,+,80,=,125
42,+,87,=,129
86,*,5,=,430
72,/,3,=,24
28,+,99,=,127
67,/,67,=,1
95,*,61,=,5795
26,*,71,=,1846
57,+,53,=,110
48,/,24,=,2
24,+,71,=,95
35,*,1,=,35
51,+,13,=,64
7,/,7,=,1
65,*,86,=,5590
76,+,10,=,86
90,+,96,=,186
42,/,7,=,6
6,*,91,=,546
59,-,4,=,55
63,*,26,=,1638
12,-,8,=,4
89,+,64,=,153
16,-,43,=,-27
48,/,6,=,8
97,+,99,=,196
44,+,32,=,76
82,/,41,=,2
75,+,47,=,122
53,/,53,=,1
50,*,87,=,4350
55,/,1,=,55
74,*,43,=,3182
25,+,42,=,67
20,+,80,=,100
60,-,50,=,10
63,-,52,=,11
36,*,68,=,2448
69,-,71,=,-2
14,-,7,=,7
39,-,65,=,-26
66,/,66,=,1
65,/,13,=,5
98,-,42,=,56
78,*,4,=,312
55,-,42,=,13
18,-,12,=,6
52,/,4,=,13
14,-,46,=,-32
51,+,22,=,73
9,-,57,=,-48
60,/,6,=,10
52,+,22,=,74
30,/,15,=,2
35,-,6,=,29
79,/,1,=,79
59,/,59,=,1
46,-,29,=,17
61,+,76,=,137
42,+,3,=,45
35,/,5,=,7
47,/,1,=,47
38,/,1,=,38
18,*,59,=,1062
50,/,1,=,50
77,-,53,=,24
33,/,11,=,3
73,/,73,=,1
88,+,88,=,176
58,*,89,=,5162
71,/,71,=,1
81,/,81,=,1
46,/,1,=,46
63,+,4,=,67
69,+,59,=,128
59,/,1,=,59
94,+,21,=,115
30,-,97,=,-67
16,*,43,=,688
40,+,15,=,55
79,+,67,=,146
22,*,20,=,440
33,*,34,=,1122
13,+,8,=,21
95,*,69,=,6555
23,/,1,=,23
14,+,57,=,71
46,*,58,=,2668
50,+,74,=,124
43,+,10,=,53
67,-,37,=,30
42,-,76,=,-34
43,+,3,=,46
49,*,14,=,686
33,+,70,=,103
60,*,89,=,5340
49,+,99,=,148
15,*,48,=,720
23,*,49,=,1127
2,/,2,=,1
71,*,65,=,4615
40,+,19,=,59
17,-,100,=,-83
22,/,2,=,11
71,*,96,=,6816
92,/,92,=,1
76,+,31,=,107
39,*,49,=,1911
13,/,13,=,1
63,-,41,=,22
84,-,59,=,25
75,+,77,=,152
91,-,75,=,16
88,/,2,=,44
19,/,1,=,19
81,*,33,=,2673
98,*,98,=,9604
50,*,37,=,1850
32,/,4,=,8
83,+,57,=,140
53,+,48,=,101
40,*,96,=,3840
58,*,68,=,3944
85,+,6,=,91
1,+,11,=,12
71,+,16,=,87
61,*,29,=,1769
37,+,47,=,84
34,+,50,=,84
28,/,14,=,2
20,-,2,=,18
43,-,4,=,39
100,+,51,=,151
11,+,4,=,15
76,/,19,=,4
48,+,96,=,144
6,/,2,=,3
90,*,32,=,2880
14,*,79,=,1106
85,*,63,=,5355
86,-,17,=,69
90,/,10,=,9
39,+,29,=,68
63,+,15,=,78
49,*,12,=,588
66,-,16,=,50
13,/,13,=,1
12,+,31,=,43
62,/,62,=,1
86,+,88,=,174
92,+,23,=,115
52,-,92,=,-40
78,+,7,=,85
72,/,18,=,4
40,*,82,=,3280
27,*,27,=,729
49,/,49,=,1
14,/,14,=,1
72,*,31,=,2232
37,*,17,=,629
29,*,3,=,87
58,*,43,=,2494
10,/,5,=,2
2,*,22,=,44
78,+,100,=,178
8,*,74,=,592
48,+,1,=,49
99,+,25,=,124
84,+,29,=,113
33,-,5,=,28
93,/,3,=,31
14,-,83,=,-69
67,+,56,=,123
26,*,4,=,104
6,*,36,=,216
42,-,78,=,-36
55,/,1,=,55
96,/,32,=,3
3,-,93,=,-90
5,/,1,=,5
65,-,62,=,3
86,*,32,=,2752
34,*,58,=,1972
10,+,93,=,103
96,-,67,=,29
22,*,33,=,726
65,*,67,=,4355
78,+,80,=,158
62,-,85,=,-23
6,-,49,=,-43
36,/,36,=,1
89,-,46,=,43
19,/,1,=,19
4,/,4,=,1
83,-,36,=,47
61,+,28,=,89
82,+,90,=,172
60,*,83,=,4980
39,*,29,=,1131
47,-,18,=,29
19,*,95,=,1805
37,/,1,=,37
88,-,56,=,32
6,-,65,=,-59
35,+,15,=,50
15,/,3,=,5
76,/,4,=,19
13,-,45,=,-32
19,/,19,=,1
30,*,42,=,1260
27,+,17,=,44
83,+,76,=,159
85,-,87,=,-2
62,*,30,=,1860
34,*,86,=,2924
22,-,3,=,19
81,*,42,=,3402
74,-,73,=,1
93,-,3,=,90
93,/,31,=,3
58,+,52,=,110
5,/,1,=,5
74,/,74,=,1
32,-,87,=,-55
65,/,13,=,5
55,*,77,=,4235
31,-,15,=,16
53,-,68,=,-15
31,+,8,=,39
97,+,10,=,107
18,+,60,=,78
21,-,35,=,-14
19,*,34,=,646
89,/,1,=,89
16,*,38,=,608
8,+,83,=,91
4,/,2,=,2
83,/,83,=,1
35,-,28,=,7
60,+,5,=,65
27,*,44,=,1188
97,-,3,=,94
15,/,15,=,1
100,+,4,=,104
72,-,25,=,47
36,/,6,=,6
84,-,86,=,-2
12,*,58,=,696
65,*,31,=,2015
53,*,69,=,3657
95,-,14,=,81
21,*,37,=,777
89,+,72,=,161
43,-,96,=,-53
52,-,14,=,38
14,-,59,=,-45
1,+,73,=,74
71,*,11,=,781
34,+,31,=,65
53,/,53,=,1
85,*,74,=,6290
90,+,75,=,165
75,-,21,=,54
23,/,23,=,1
81,*,12,=,972
45,+,69,=,114
58,+,41,=,99
24,*,51,=,1224
60,*,57,=,3420
98,+,63,=,161
57,/,19,=,3
23,/,1,=,23
30,+,95,=,125
52,-,38,=,14
12,*,24,=,288
20,-,75,=,-55
74,*,100,=,7400
50,-,33,=,17
46,*,57,=,2622
75,-,45,=,30
3,/,1,=,3
81,-,18,=,63
60,-,83,=,-23
100,*,8,=,800
65,*,70,=,4550
88,-,47,=,41
19,*,54,=,1026
99,-,13,=,86
69,/,3,=,23
26,+,33,=,59
81,*,60,=,4860
17,-,41,=,-24
37,+,73,=,110
61,*,78,=,4758
21,*,66,=,1386
19,*,72,=,1368
53,-,78,=,-25
93,-,69,=,24
43,-,57,=,-14
28,*,17,=,476
64,*,38,=,2432
24,*,83,=,1992
99,*,23,=,2277
79,/,79,=,1
65,*,8,=,520
22,*,4,=,88
20,*,82,=,1640
32,*,45,=,1440
86,/,2,=,43
51,-,19,=,32
21,/,3,=,7
26,+,45,=,71
16,+,93,=,109
44,+,94,=,138
90,*,14,=,1260
54,+,43,=,97
24,+,88,=,112
79,*,8,=,632
66,+,10,=,76
50,-,22,=,28
35,+,82,=,117
24,-,61,=,-37
74,*,63,=,4662
90,/,2,=,45
81,-,81,=,0
95,/,95,=,1
59,-,57,=,2
62,-,100,=,-38
82,-,88,=,-6
38,*,75,=,2850
94,+,83,=,177
23,/,23,=,1
99,/,3,=,33
96,-,9,=,87
56,*,60,=,3360
5,-,26,=,-21
39,+,77,=,116
44,-,98,=,-54
19,-,30,=,-11
50,*,94,=,4700
52,/,4,=,13
63,-,81,=,-18
53,-,26,=,27
33,*,12,=,396
45,+,85,=,130
99,/,9,=,11
63,/,63,=,1
15,+,26,=,41
94,-,20,=,74
46,*,59,=,2714
53,/,1,=,53
79,/,79,=,1
44,*,47,=,2068
72,*,67,=,4824
4,/,2,=,2
67,-,33,=,34
90,+,85,=,175
61,*,87,=,5307
70,+,45,=,115
69,/,1,=,69
66,*,66,=,4356
50,-,51,=,-1
20,+,85,=,105
16,/,2,=,8
93,/,93,=,1
87,*,20,=,1740
64,-,63,=,1
67,+,37,=,104
44,/,4,=,11
62,*,38,=,2356
38,/,2,=,19
99,/,33,=,3
19,+,53,=,72
48,*,86,=,4128
55,-,35,=,20
54,*,20,=,1080
67,/,67,=,1
3,-,16,=,-13
92,/,2,=,46
78,/,26,=,3
61,+,25,=,86
75,+,90,=,165
2,-,22,=,-20
54,-,46,=,8
7,-,39,=,-32
96,-,60,=,36
49,/,1,=,49
10,+,88,=,98
36,+,100,=,136
53,-,27,=,26
19,*,32,=,608
3,*,71,=,213
56,+,35,=,91
93,/,3,=,31
8,+,36,=,44
20,*,82,=,1640
85,+,49,=,134
1,/,1,=,1
86,/,43,=,2
11,+,79,=,90
91,*,93,=,8463
32,/,32,=,1
75,+,74,=,149
5,*,8,=,40
87,-,96,=,-9
17,-,3,=,14
48,/,12,=,4
19,/,19,=,1
60,+,70,=,130
10,/,1,=,10
38,+,81,=,119
54,-,7,=,47
21,-,71,=,-50
41,*,11,=,451
17,/,17,=,1
95,/,5,=,19
69,+,48,=,117
52,+,52,=,104
91,-,82,=,9
53,+,10,=,63
42,+,40,=,82
3,/,3,=,1
85,+,88,=,173
10,*,30,=,300
35,/,1,=,35
49,*,89,=,4361
62,*,94,=,5828
5,/,1,=,5
92,/,23,=,4
25,/,5,=,5
32,/,4,=,8
70,/,70,=,1
61,+,56,=,117
81,*,98,=,7938
59,*,26,=,1534
45,-,60,=,-15
53,-,41,=,12
57,-,77,=,-20
99,*,52,=,5148
9,-,68,=,-59
1,*,8,=,8
86,*,66,=,5676
88,-,68,=,20
64,-,59,=,5
51,*,73,=,3723
26,-,12,=,14
89,+,12,=,101
18,/,3,=,6
56,*,72,=,4032
84,-,46,=,38
86,*,52,=,4472
47,+,23,=,70
88,-,3,=,85
30,/,1,=,30
55,*,1,=,55
91,/,1,=,91
34,*,42,=,1428
48,*,84,=,4032
56,+,53,=,109
73,+,5,=,78
35,/,35,=,1
15,/,1,=,15
98,/,49,=,2
5,*,36,=,180
93,*,27,=,2511
15,-,70,=,-55
54,/,1,=,54
29,+,91,=,120
63,-,36,=,27
76,-,2,=,74
29,/,1,=,29
34,*,22,=,748
27,*,69,=,1863
66,/,1,=,66
67,/,67,=,1
18,+,67,=,85
87,/,29,=,3
64,*,45,=,2880
23,-,21,=,2
85,*,78,=,6630
4,*,34,=,136
30,*,17,=,510
1,*,13,=,13
76,/,2,=,38
94,+,64,=,158
17,+,17,=,34
98,*,47,=,4606
15,/,1,=,15
76,*,32,=,2432
5,+,45,=,50
3,-,18,=,-15
44,/,11,=,4
8,+,67,=,75
21,*,7,=,147
82,+,54,=,136
73,/,73,=,1
47,*,69,=,3243
89,*,32,=,2848
26,-,19,=,7
89,/,89,=,1
55,/,55,=,1
15,/,1,=,15
1,*,55,=,55
24,+,79,=,103
43,-,80,=,-37
9,/,1,=,9
98,+,50,=,148
12,-,84,=,-72
36,-,41,=,-5
20,+,49,=,69
46,*,64,=,2944
32,-,12,=,20
5,/,1,=,5
22,-,50,=,-28
42,-,11,=,31
76,+,9,=,85
77,+,34,=,111
93,*,72,=,6696
38,+,35,=,73
83,-,92,=,-9
23,/,1,=,23
21,*,62,=,1302
8,+,20,=,28
57,-,7,=,50
36,*,96,=,3456
79,/,1,=,79
64,/,2,=,32
25,*,83,=,2075
57,/,57,=,1
69,/,3,=,23
35,/,1,=,35
94,/,47,=,2
75,*,25,=,1875
11,/,1,=,11
52,/,2,=,26
5,-,9,=,-4
24,+,60,=,84
64,/,32,=,2
37,*,17,=,629
29,/,29,=,1
54,+,75,=,129
62,*,97,=,6014
4,+,91,=,95
63,+,75,=,138
10,-,28,=,-18
3,-,6,=,-3
95,-,36,=,59
91,*,25,=,2275
97,/,1,=,97
70,*,75,=,5250
58,+,63,=,121
86,/,86,=,1
70,+,69,=,139
3,/,1,=,3
67,+,91,=,158
57,+,13,=,70
41,-,62,=,-21
48,/,8,=,6
83,+,95,=,178
7,+,50,=,57
13,-,34,=,-21
58,*,92,=,5336
9,*,27,=,243
76,/,38,=,2
11,-,28,=,-17
53,*,15,=,795
42,-,14,=,28
53,-,77,=,-24
85,-,55,=,30
50,/,25,=,2
90,*,17,=,1530
27,*,100,=,2700
66,-,96,=,-30
44,/,44,=,1
53,+,24,=,77
33,-,47,=,-14
87,/,3,=,29
59,+,61,=,120
94,*,32,=,3008
83,/,1,=,83
90,-,100,=,-10
70,*,58,=,4060
84,+,5,=,89
18,*,14,=,252
45,/,9,=,5
86,-,8,=,78
64,/,1,=,64
93,/,3,=,31
69,-,55,=,14
31,*,9,=,279
8,/,2,=,4
43,+,50,=,93
13,-,89,=,-76
39,+,8,=,47
55,-,75,=,-20
11,*,17,=,187
27,+,25,=,52
22,*,75,=,1650
70,-,5,=,65
67,*,86,=,5762
51,-,8,=,43
59,-,87,=,-28
23,*,15,=,345
27,+,91,=,118
29,*,13,=,377
30,/,3,=,10
33,+,100,=,133
89,+,19,=,108
23,*,10,=,230
96,+,72,=,168
71,-,64,=,7
99,+,36,=,135
60,-,73,=,-13
49,-,76,=,-27
72,/,4,=,18
23,+,92,=,115
63,*,13,=,819
2,*,64,=,128
93,+,4,=,97
77,/,7,=,11
7,/,1,=,7
79,*,31,=,2449
4,/,2,=,2
80,/,40,=,2
42,+,90,=,132
5,+,64,=,69
96,*,24,=,2304
58,+,39,=,97
78,/,78,=,1
43,*,47,=,2021
59,+,49,=,108
98,+,86,=,184
40,*,83,=,3320
82,+,23,=,105
52,/,13,=,4
72,/,3,=,24
31,/,1,=,31
1,+,70,=,71
7,/,1,=,7
17,/,1,=,17
82,*,97,=,7954
60,/,1,=,60
91,+,22,=,113
51,+,62,=,113
66,/,66,=,1
33,*,3,=,99
7,/,7,=,1
20,+,12,=,32
47,+,89,=,136
60,-,95,=,-35
36,+,12,=,48
59,+,50,=,109
24,-,27,=,-3
69,+,89,=,158
37,+,44,=,81
13,-,53,=,-40
26,*,3,=,78
40,/,4,=,10
52,*,35,=,1820
7,-,44,=,-37
59,-,91,=,-32
55,*,95,=,5225
55,-,7,=,48
20,/,4,=,5
68,*,46,=,3128
33,/,3,=,11
86,+,45,=,131
92,+,55,=,147
74,-,87,=,-13
48,*,75,=,3600
82,-,93,=,-11
50,-,58,=,-8
10,+,97,=,107
4,/,4,=,1
22,-,98,=,-76
26,+,99,=,125
21,*,52,=,1092
46,-,65,=,-19
81,/,3,=,27
30,/,30,=,1
10,/,2,=,5
50,-,35,=,15
59,*,18,=,1062
37,/,1,=,37
1,/,1,=,1
87,-,97,=,-10
55,*,24,=,1320
31,*,10,=,310
59,-,75,=,-16
95,+,41,=,136
49,/,49,=,1
73,/,1,=,73
92,*,99,=,9108
64,+,93,=,157
97,*,16,=,1552
44,*,47,=,2068
76,*,34,=,2584
30,/,3,=,10
46,-,94,=,-48
74,-,55,=,19
100,*,11,=,1100
39,-,39,=,0
90,-,46,=,44
18,*,40,=,720
92,+,91,=,183
43,*,47,=,2021
44,*,12,=,528
64,*,59,=,3776
28,+,86,=,114
70,*,96,=,6720
63,/,21,=,3
3,/,1,=,3
21,/,3,=,7
23,/,23,=,1
35,*,86,=,3010
42,-,46,=,-4
30,*,39,=,1170
20,/,20,=,1
78,-,46,=,32
2,*,70,=,140
5,-,46,=,-41
17,+,5,=,22
15,*,51,=,765
29,-,91,=,-62
51,*,38,=,1938
11,*,61,=,671
61,+,40,=,101
49,/,1,=,49
21,/,7,=,3
98,/,14,=,7
26,/,1,=,26
92,+,85,=,177
56,+,80,=,136
48,/,3,=,16
99,-,93,=,6
81,/,1,=,81
12,*,90,=,1080
58,/,2,=,29
31,+,69,=,100
61,/,61,=,1
6,-,21,=,-15
39,+,61,=,100
53,-,31,=,22
80,+,96,=,176
38,-,53,=,-15
8,-,81,=,-73
72,/,9,=,8
82,*,60,=,4920
11,+,8,=,19
16,-,30,=,-14
55,-,12,=,43
86,-,46,=,40
22,+,77,=,99
31,+,35,=,66
17,+,25,=,42
28,*,81,=,2268
74,-,35,=,39
22,*,59,=,1298
70,*,29,=,2030
6,+,93,=,99
48,/,1,=,48
29,/,29,=,1
43,*,83,=,3569
26,+,62,=,88
92,/,2,=,46
47,-,28,=,19
58,-,55,=,3
12,*,83,=,996
25,-,5,=,20
79,*,39,=,3081
28,-,48,=,-20
6,*,24,=,144
41,*,85,=,3485
39,-,41,=,-2
32,*,38,=,1216
63,*,18,=,1134
22,-,32,=,-10
57,+,71,=,128
56,/,2,=,28
43,/,1,=,43
86,/,1,=,86
76,/,38,=,2
8,*,81,=,648
77,/,11,=,7
93,/,3,=,31
42,/,1,=,42
14,-,38,=,-24
77,/,7,=,11
82,-,77,=,5
79,*,6,=,474
77,/,77,=,1
8,-,94,=,-86
89,/,89,=,1
39,*,71,=,2769
25,/,25,=,1
89,*,14,=,1246
94,*,49,=,4606
97,-,46,=,51
30,+,86,=,116
14,/,14,=,1
71,-,32,=,39
21,*,64,=,1344
7,+,57,=,64
83,*,98,=,8134
94,/,94,=,1
14,-,98,=,-84
51,*,7,=,357
71,/,71,=,1
44,*,67,=,2948
55,/,55,=,1
50,*,7,=,350
64,/,1,=,64
12,/,6,=,2
100,/,20,=,5
44,+,57,=,101
37,/,1,=,37
93,*,17,=,1581
17,+,1,=,18
88,-,51,=,37
96,*,28,=,2688
78,/,6,=,13
17,-,79,=,-62
55,*,51,=,2805
39,+,98,=,137
5,+,78,=,83
87,*,77,=,6699
92,/,92,=,1
19,*,34,=,646
97,+,44,=,141
47,+,29,=,76
58,/,1,=,58
60,+,22,=,82
61,/,1,=,61
55,*,40,=,2200
38,/,19,=,2
28,*,7,=,196
45,-,29,=,16
26,/,26,=,1
69,+,23,=,92
93,*,12,=,1116
80,*,35,=,2800
93,-,92,=,1
43,/,1,=,43
5,*,7,=,35
73,-,75,=,-2
76,*,24,=,1824
8,*,45,=,360
87,*,13,=,1131
73,*,29,=,2117
48,/,16,=,3
48,*,49,=,2352
97,*,19,=,1843
39,/,39,=,1
80,/,2,=,40
2,*,77,=,154
68,+,74,=,142
2,+,80,=,82
28,-,8,=,20
80,*,74,=,5920
57,+,56,=,113
100,-,39,=,61
13,+,84,=,97
12,+,77,=,89
49,*,70,=,3430
49,+,95,=,144
17,+,93,=,110
21,-,31,=,-10
69,*,18,=,1242
55,+,37,=,92
40,+,56,=,96
99,*,9,=,891
42,+,50,=,92
32,-,56,=,-24
59,-,40,=,19
53,*,15,=,795
6,*,11,=,66
52,*,78,=,4056
29,*,77,=,2233
46,/,1,=,46
21,/,7,=,3
98,/,14,=,7
73,/,1,=,73
77,*,64,=,4928
27,+,99,=,126
80,-,40,=,40
72,-,27,=,45
22,/,2,=,11
97,*,78,=,7566
47,-,70,=,-23
100,+,73,=,173
57,/,1,=,57
69,*,8,=,552
75,-,68,=,7
70,/,35,=,2
68,*,92,=,6256
79,-,14,=,65
74,+,51,=,125
87,-,54,=,33
38,*,100,=,3800
75,-,78,=,-3
30,-,49,=,-19
48,-,59,=,-11
23,*,51,=,1173
27,+,26,=,53
74,+,98,=,172
83,+,12,=,95
24,+,71,=,95
23,-,26,=,-3
80,*,71,=,5680
59,-,53,=,6
87,+,52,=,139
11,+,34,=,45
87,/,29,=,3
33,+,66,=,99
94,/,94,=,1
40,-,81,=,-41
44,-,95,=,-51
91,*,38,=,3458
63,+,3,=,66
67,*,50,=,3350
77,+,11,=,88
18,-,25,=,-7
49,*,8,=,392
64,*,76,=,4864
68,-,98,=,-30
45,*,47,=,2115
52,+,78,=,130
68,+,37,=,105
18,/,3,=,6
35,+,48,=,83
12,*,8,=,96
63,+,94,=,157
72,-,44,=,28
58,-,9,=,49
2,*,17,=,34
18,*,6,=,108
51,-,81,=,-30
38,*,59,=,2242
76,/,4,=,19
9,-,40,=,-31
6,+,25,=,31
17,-,8,=,9
34,-,98,=,-64
78,-,100,=,-22
58,/,58,=,1
41,-,36,=,5
42,+,56,=,98
30,-,100,=,-70
51,/,51,=,1
7,*,62,=,434
1,-,52,=,-51
40,/,5,=,8
24,/,12,=,2
40,*,60,=,2400
67,-,65,=,2
55,*,35,=,1925
58,*,41,=,2378
14,+,46,=,60
59,/,59,=,1
37,/,1,=,37
5,-,83,=,-78
32,*,1,=,32
18,/,9,=,2
96,/,16,=,6
84,-,28,=,56
46,*,19,=,874
6,/,2,=,3
7,*,50,=,350
94,+,33,=,127
3,/,1,=,3
25,-,24,=,1
60,-,36,=,24
91,+,17,=,108
4,/,4,=,1
51,-,16,=,35
28,/,14,=,2
68,+,42,=,110
